model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
tasknet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,0,138,18,6,0,0,19
tasknet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,1,131,57,2,0,0,20
filternet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,0,138,16,0,0,0,2
filternet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,1,131,64,3,0,0,7
tasknet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,1,131,68,5,0,0,26
filternet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,0,138,22,4,0,0,6
filternet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,1,131,86,13,4,0,11
tasknet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,1,131,70,5,0,0,30
filternet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,0,138,31,8,0,0,8
filternet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,1,131,89,16,9,0,26
tasknet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,1,131,70,5,0,0,30
filternet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,0,138,46,13,2,2,26
filternet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,1,131,95,24,19,1,38
tasknet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,0,138,18,6,0,0,19
tasknet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,1,131,57,2,0,0,20
filternet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,0,138,15,0,0,0,5
filternet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,1,131,68,6,0,0,9
tasknet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,1,131,68,5,0,0,26
filternet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,0,138,21,3,0,0,5
filternet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,1,131,85,14,4,0,12
tasknet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,1,131,70,5,0,0,30
filternet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,0,138,38,3,0,0,12
filternet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,1,131,96,8,8,0,12
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,138,22,9,0,0,23
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,131,70,5,0,0,30
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,138,54,7,2,1,14
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,131,96,14,19,1,38
tasknet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,0,192,40,11,0,0,24
tasknet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,1,135,26,7,1,0,68
filternet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,0,192,30,6,0,0,12
filternet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,1,135,31,6,1,0,21
tasknet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,0,192,48,15,0,0,31
tasknet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,1,135,29,9,1,0,80
filternet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,0,192,41,11,0,0,23
filternet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,1,135,44,11,1,0,17
tasknet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,0,192,50,13,1,1,28
filternet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,1,135,50,12,1,0,24
tasknet,chemistry_floor0,0.25,100,0.5,0.75,0.5,0.38,0.5,0,192,50,15,0,0,31
tasknet,chemistry_floor0,0.25,100,0.5,0.75,0.5,0.38,0.5,1,135,30,9,1,0,81
filternet,chemistry_floor0,0.25,100,0.5,0.75,0.5,0.38,0.5,0,192,60,20,5,2,37
