relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
0,0,0,tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
0,0,0,tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.24267726751988872,111,38,29
0,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.47239951953719783,124,69,46
0,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.26489910738878736,111,43,47
0,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.4539367846402172,124,66,38
0,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3024762912566605,111,43,27
0,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.4714708315745055,124,76,80
0,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.2996553759983006,111,50,60
0,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.47281505144436586,124,76,76
0,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.30719348209535624,111,50,57
1,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.4332551008778232,124,55,11
1,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3657606287781484,111,53,28
1,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.4184751860569248,124,53,11
1,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3670978360380313,111,53,28
1,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.37122055811571947,124,60,33
1,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3408269902485898,111,58,61
1,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.3796858961621732,124,60,30
1,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3427348904315837,111,58,60
0,0,0,tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
0,0,0,tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
0,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.40573800155123146,124,57,24
0,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.16183439517245532,111,25,23
0,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.40646731986593587,124,57,22
0,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.18123077559352066,111,25,15
0,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.42601246001394955,124,60,22
0,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.1424017424017424,111,24,16
0,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.42601246001394955,124,60,22
0,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.14736842105263157,111,24,15
1,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.4247593252368066,124,55,5
1,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.25503781702021866,111,34,20
1,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.4247593252368066,124,55,4
1,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.25503781702021866,111,34,20
1,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.4270187608946861,124,56,5
1,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.19899847899847897,111,34,21
1,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.42805779569892466,124,56,4
1,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.19899847899847897,111,34,21
0,0,0,tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
